url,tags,author,text
"/author/Albert-Einstein,/tag/change/page/1/,/tag/deep-thoughts/page/1/,/tag/thinking/page/1/,/tag/world/page/1/","change,deep-thoughts,thinking,world",Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”
"/author/J-K-Rowling,/tag/abilities/page/1/,/tag/choices/page/1/","abilities,choices",J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”"
"/author/Albert-Einstein,/tag/inspirational/page/1/,/tag/life/page/1/,/tag/live/page/1/,/tag/miracle/page/1/,/tag/miracles/page/1/","inspirational,life,live,miracle,miracles",Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
"/author/Jane-Austen,/tag/aliteracy/page/1/,/tag/books/page/1/,/tag/classic/page/1/,/tag/humor/page/1/","aliteracy,books,classic,humor",Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”"
"/author/Marilyn-Monroe,/tag/be-yourself/page/1/,/tag/inspirational/page/1/","be-yourself,inspirational",Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”"
"/author/Albert-Einstein,/tag/adulthood/page/1/,/tag/success/page/1/,/tag/value/page/1/","adulthood,success,value",Albert Einstein,“Try not to become a man of success. Rather become a man of value.”
"/author/Andre-Gide,/tag/life/page/1/,/tag/love/page/1/","life,love",André Gide,“It is better to be hated for what you are than to be loved for what you are not.”
"/author/Thomas-A-Edison,/tag/edison/page/1/,/tag/failure/page/1/,/tag/inspirational/page/1/,/tag/paraphrased/page/1/","edison,failure,inspirational,paraphrased",Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”"
"/author/Eleanor-Roosevelt,/tag/misattributed-eleanor-roosevelt/page/1/",misattributed-eleanor-roosevelt,Eleanor Roosevelt,“A woman is like a tea bag; you never know how strong it is until it's in hot water.”
"/author/Steve-Martin,/tag/humor/page/1/,/tag/obvious/page/1/,/tag/simile/page/1/","humor,obvious,simile",Steve Martin,"“A day without sunshine is like, you know, night.”"
"/author/Marilyn-Monroe,/tag/friends/page/1/,/tag/heartbreak/page/1/,/tag/inspirational/page/1/,/tag/life/page/1/,/tag/love/page/1/,/tag/sisters/page/1/","friends,heartbreak,inspirational,life,love,sisters",Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”"
"/author/J-K-Rowling,/tag/courage/page/1/,/tag/friends/page/1/","courage,friends",J.K. Rowling,"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”"
"/author/Albert-Einstein,/tag/simplicity/page/1/,/tag/understand/page/1/","simplicity,understand",Albert Einstein,"“If you can't explain it to a six year old, you don't understand it yourself.”"
